***     empty DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt                              shape (4265380512,)           dtype dtypes.uint8
***      copy CPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 2                shape (2,)                    dtype dtypes.uint8
WARNING: returning Dummy for pytorch_lightning.callbacks.model_checkpoint ModelCheckpoint
WARNING: unused weights in state_dict ['alphas_cumprod_prev', 'betas', 'cond_stage_model.transformer.text_model.embeddings.position_ids', 'log_one_minus_alphas_cumprod', 'model_ema.decay', 'model_ema.num_updates', 'posterior_log_variance_clipped', 'posterior_mean_coef1', 'posterior_mean_coef2', 'posterior_variance', 'sqrt_alphas_cumprod', 'sqrt_one_minus_alphas_cumprod', 'sqrt_recip_alphas_cumprod', 'sqrt_recipm1_alphas_cumprod']
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 102400           shape (320, 320)              dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 102400           shape (320, 320)              dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 320              shape (320,)                  dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 320              shape (320,)                  dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 819200           shape (2560, 320)             dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 819200           shape (2560, 320)             dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 2560             shape (2560,)                 dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 2560             shape (2560,)                 dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 409600           shape (320, 1280)             dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 409600           shape (320, 1280)             dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 320              shape (320,)                  dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 320              shape (320,)                  dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 102400           shape (320, 320)              dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 102400           shape (320, 320)              dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 245760           shape (320, 768)              dtype dtypes.float
***      copy WEBGPU <- DISK:/Users/jasonx/Dropbox/repos/web-control-net/weights/sd-v1-4.ckpt size 245760           shape (320, 768)              dtype dtypes.float
